Error_Code,Car_Model,Symptoms,Root_Cause,Solution
P0171,Toyota Camry 2018,روشن شدن چراغ چک، لرزش موتور درجا، کاهش شتاب,نشت خلاء در منیفولد ورودی یا شلنگ‌ها، کثیف بودن سنسور MAF,بررسی و تعمیر نشتی‌های خلاء، تمیز کردن سنسور MAF، تعویض فیلتر سوخت
P0300,Hyundai Elantra 2019,لرزش شدید موتور، کاهش قدرت، افزایش مصرف سوخت,شمع‌های فرسوده، کویل احتراق معیوب، انژکتور سوخت کثیف,تعویض شمع‌ها و کویل‌ها، تمیز کردن انژکتورها
P0420,Mercedes C200 2017,چراغ چک، بوی بد از اگزوز، کاهش توان موتور,خرابی کاتالیزور، نشت اگزوز، سنسور اکسیژن معیوب,تعویض کاتالیزور، بررسی و تعمیر نشتی اگزوز، تعویض سنسور O2
P0135,BMW 320i 2016,روشن شدن چراغ چک، افزایش مصرف سوخت,خرابی مدار گرمکن سنسور اکسیژن (بانک ۱ سنسور ۱),تعویض سنسور اکسیژن بالادست
P0442,Ford Focus 2018,چراغ چک، بوی بنزین خفیف,نشت کوچک در سیستم تبخیر سوخت (EVAP)، شل بودن درب باک,محکم کردن درب باک، تست دود برای یافتن نشتی و تعمیر شلنگ‌ها
P0455,Honda Civic 2019,چراغ چک، بوی سوخت شدید,نشت بزرگ EVAP، قطعی شلنگ یا شیر برقی تخلیه,تعویض شیر برقی تخلیه EVAP، تعمیر شلنگ آسیب‌دیده
P0128,Hyundai Tucson 2020,چراغ چک، گرم نشدن مناسب کابین، دمای موتور پایین,ترموستات گیر کرده در حالت باز,تعویض ترموستات
P0011,Toyota Corolla 2015,صدای تق تق موتور، شتاب ضعیف، چراغ چک,زمان‌بندی میل سوپاپ ورودی پیش‌آمده، کمبود روغن یا شیر کنترل روغن معیوب (VVT),بررسی سطح روغن، تعویض شیر کنترل VVT، در صورت لزوم تعویض زنجیر تایم
P0014,Mercedes E350 2016,لرزش موتور، مصرف سوخت بالا، صدای غیرعادی,شیر برقی زمان‌بندی میل سوپاپ دود (Exhaust VVT) خراب، لجن روغن,تمیز کردن یا تعویض شیر برقی VVT دود، تعویض روغن و فیلتر
P0016,BMW X5 2017,روشن نشدن موتور، استارت سخت، چراغ چک,عدم هماهنگی بین سنسور میل‌لنگ و میل سوپاپ، کشیدگی زنجیر تایم,بررسی و تعویض زنجیر تایم و کشنده، تعویض سنسور
P0172,Hyundai Sonata 2018,چراغ چک، دود سیاه از اگزوز، کاهش راندمان,مخلوط سوخت غنی (بانک ۱)، خرابی سنسور MAF/MAP، انژکتور نشتی,تمیز کردن سنسور MAF، تعویض انژکتور معیوب، بررسی فشار سوخت
P0302,Nissan Altima 2017,لرزش درجا، چراغ چک چشمک‌زن,اشتعال ناقص سیلندر ۲، شمع یا کویل خراب، مشکل تراکم,تعویض شمع و کویل سیلندر ۲، تست تراکم
